Designator,Mid X,Mid Y,Layer,Rotation
D_0,109.573625,-35.226,B,90.0
D_1,128.623625,-35.226,B,90.0
D_10,300.073625,-35.226,B,90.0
D_11,328.648625,-35.226,B,90.0
D_12,109.573625,-54.276,B,90.0
D_13,128.623625,-54.276,B,90.0
D_14,147.673625,-54.276,B,90.0
D_15,166.723625,-54.276,B,90.0
D_16,185.773625,-54.276,B,90.0
D_17,204.823625,-54.276,B,90.0
D_18,223.873625,-54.276,B,90.0
D_19,242.923625,-54.276,B,90.0
D_2,147.673625,-35.226,B,90.0
D_20,261.973625,-54.276,B,90.0
D_21,281.023625,-54.276,B,90.0
D_22,300.073625,-54.276,B,90.0
D_23,342.936125,-54.276,B,90.0
D_24,109.573625,-73.326,B,90.0
D_25,128.623625,-73.326,B,90.0
D_26,147.673625,-73.326,B,90.0
D_27,166.723625,-73.326,B,90.0
D_28,185.773625,-73.326,B,90.0
D_29,204.823625,-73.326,B,90.0
D_3,166.723625,-35.226,B,90.0
D_30,223.873625,-73.326,B,90.0
D_31,242.923625,-73.326,B,90.0
D_32,261.973625,-73.326,B,90.0
D_33,281.023625,-73.326,B,90.0
D_34,300.073625,-73.326,B,90.0
D_35,352.461125,-73.326,B,90.0
D_36,109.573625,-92.376,B,90.0
D_37,128.623625,-92.376,B,90.0
D_38,147.673625,-92.376,B,90.0
D_39,166.723625,-92.376,B,90.0
D_4,185.773625,-35.226,B,90.0
D_40,185.773625,-92.376,B,90.0
D_41,223.873625,-92.376,B,90.0
D_42,242.923625,-92.376,B,90.0
D_43,261.973625,-92.376,B,90.0
D_44,281.023625,-92.376,B,90.0
D_45,300.073625,-92.376,B,90.0
D_46,323.886125,-92.376,B,90.0
D_5,204.823625,-35.226,B,90.0
D_6,223.873625,-35.226,B,90.0
D_7,242.923625,-35.226,B,90.0
D_8,261.973625,-35.226,B,90.0
D_9,281.023625,-35.226,B,90.0
K_0,96.286125,-34.726,T,0.0
K_1,120.098625,-34.726,T,0.0
K_10,291.548625,-34.726,T,0.0
K_11,315.361125,-34.726,T,0.0
K_12,93.904875,-53.776,T,0.0
K_13,120.098625,-53.776,T,0.0
K_14,139.148625,-53.776,T,0.0
K_15,158.198625,-53.776,T,0.0
K_16,177.248625,-53.776,T,0.0
K_17,196.298625,-53.776,T,0.0
K_18,215.348625,-53.776,T,0.0
K_19,234.398625,-53.776,T,0.0
K_2,139.148625,-34.726,T,0.0
K_20,253.448625,-53.776,T,0.0
K_21,272.498625,-53.776,T,0.0
K_22,291.548625,-53.776,T,0.0
K_23,322.504875,-53.776,T,0.0
K_24,89.142375,-72.826,T,0.0
K_25,120.098625,-72.826,T,0.0
K_26,139.148625,-72.826,T,0.0
K_27,158.198625,-72.826,T,0.0
K_28,177.248625,-72.826,T,0.0
K_29,196.298625,-72.826,T,0.0
K_3,158.198625,-34.726,T,0.0
K_30,215.348625,-72.826,T,0.0
K_31,234.398625,-72.826,T,0.0
K_32,253.448625,-72.826,T,0.0
K_33,272.498625,-72.826,T,0.0
K_34,291.548625,-72.826,T,0.0
K_35,327.267375,-72.826,T,0.0
K_36,98.667375,-91.876,T,0.0
K_37,120.098625,-91.876,T,0.0
K_38,139.148625,-91.876,T,0.0
K_39,158.198625,-91.876,T,0.0
K_4,177.248625,-34.726,T,0.0
K_40,177.248625,-91.876,T,0.0
K_41,205.823625,-91.876,T,0.0
K_42,234.398625,-91.876,T,0.0
K_43,253.448625,-91.876,T,0.0
K_44,272.498625,-91.876,T,0.0
K_45,291.548625,-91.876,T,0.0
K_46,312.979875,-91.876,T,0.0
K_5,196.298625,-34.726,T,0.0
K_6,215.348625,-34.726,T,0.0
K_7,234.398625,-34.726,T,0.0
K_8,253.448625,-34.726,T,0.0
K_9,272.498625,-34.726,T,0.0
U1,77.363125,-42.981,B,270.0
